Immoweb code,Locality,Type of Property,Subtype of property,Price,Type of sale,No_of_rooms,area,Kitchen type,Furnished ,Fireplace ,Terrace,Garden,Facades,Swimming pool,Building condition
8954209,3920,House,House,"€295,000",for sale,3,205,Installed,0,0,0,312,0,0,0
8954208,2490,House,House,"€219,000",for sale,3,150,Installed,0,0,0,1325,4,0,To renovate
8954207,3920,House,House,"€225,000",for sale,4,165,Installed,0,0,0,800,4,0,To be done up
8954206,3920,House,House,"€259,000",for sale,3,224,Installed,0,0,0,0,3,0,Good
8954203,1390,House,House,"€594,633",for sale,3,0,0,0,0,0,0,0,0,0
8954202,1755,House,House,"€359,421",for sale,4,0,0,0,0,0,0,0,0,0
8954201,9400,House,House,"€360,030",for sale,3,0,0,0,0,0,0,0,0,0
8954200,1760,House,House,"€453,231",for sale,3,0,0,0,0,0,0,0,0,0
8954199,1300,House,House,"€466,521",for sale,3,0,0,0,0,0,0,0,0,0
8954191,9600,House,House,"€275,000",for sale,3,135,0,0,0,0,Yes,0,0,0
8954190,9600,House,House,"€275,000",for sale,3,135,0,0,0,0,Yes,0,0,0
8954189,9600,House,House,"€275,000",for sale,3,135,0,0,0,0,Yes,0,0,0
8954188,9600,House,House,"€275,000",for sale,3,135,0,0,0,0,Yes,0,0,0
8954187,9600,House,House,"€275,000",for sale,3,135,0,0,0,0,Yes,0,0,0
8954186,9600,House,House,"€275,000",for sale,3,135,0,0,0,0,Yes,0,0,0
8954185,9810,House,House,"€429,000",for sale,4,187,0,0,0,0,Yes,4,0,0
8954170,9150,House,House,"€219,000",for sale,3,165,0,0,0,0,0,0,0,0
8954167,7170,House,House,"€130,000",for sale,3,90,Not installed,0,0,0,0,0,0,0
8954166,8760,House,House,"€285,000",for sale,4,194,Installed,0,0,0,Yes,4,0,To be done up
8954136,4052,House,House,"Reserve price : €140,000",for sale,2,143,Installed,0,0,0,0,0,0,Good
8954134,6940,House,House,"€160,000",for sale,6,230,0,0,0,0,0,2,0,To renovate
8954133,9000,House,House,"€292,000",for sale,2,85,Installed,0,0,0,0,0,0,Just renovated
8818736,1745,House,House,"€650,000",for sale,4,312,Hyper equipped,0,0,0,Yes,2,0,Good
8954097,6700,House,House,"€390,000",for sale,3,250,Installed,0,0,25,Yes,3,0,0
8954099,3200,House,House,"€235,000",for sale,3,260,Semi equipped,0,0,0,0,4,0,To renovate
8954095,9000,House,House,"€383,000",for sale,3,135,Installed,0,0,15,0,0,0,As new
8954086,3020,House,House,"€330,000",for sale,3,184,Installed,0,0,40,100,3,0,Good
8954070,2830,House,House,"€275,000",for sale,3,117,Installed,0,0,35,163,0,0,Good
8954088,8870,House,House,"€174,900",for sale,2,154,Semi equipped,0,0,0,0,0,0,To be done up
8954071,4040,House,House,"€260,000",for sale,4,148,Hyper equipped,0,0,21,50,2,0,As new
8954079,9660,House,House,"€316,000",for sale,3,240,0,0,0,0,0,3,0,Good
8954078,9690,House,House,"€240,000",for sale,3,130,Semi equipped,0,0,0,0,0,0,To renovate
8954076,9600,House,House,"€145,000",for sale,3,105,Semi equipped,0,0,0,Yes,0,0,Good
8954068,9900,House,House,"€285,000",for sale,3,130,0,0,0,18,60,0,0,Just renovated
8954074,3540,House,House,"€385,000",for sale,2,0,Installed,0,0,0,Yes,0,0,Just renovated
8954053,9050,House,House,"€359,000",for sale,3,130,Installed,0,0,0,0,0,0,0
8954051,8520,House,House,"€369,000",for sale,3,167,Installed,0,0,0,Yes,3,0,Good
8954045,3550,House,House,"€319,000",for sale,3,140,0,0,0,0,1640,4,0,Good
8954043,8760,House,House,"€450,000",for sale,2,0,Installed,0,0,0,0,4,0,Good
8954041,8420,House,House,"€365,000",for sale,4,0,0,0,0,0,Yes,4,0,0
8954040,8433,House,House,"€315,000",for sale,4,152,Installed,0,0,0,61,2,0,Good
8954039,8480,House,House,"€397,000",for sale,4,225,Installed,0,0,0,Yes,0,0,0
8544838,3680,House,House,"€179,000",for sale,2,175,0,0,0,0,0,0,0,0
8954033,3700,House,House,"€290,000",for sale,7,402,Installed,0,0,0,300,2,0,Good
8954032,9000,House,House,"€675,000",for sale,4,210,Installed,0,0,0,0,0,0,0
7616363,9160,House,House,"€319,000",for sale,4,330,0,0,0,0,0,0,0,0
8954027,2610,House,House,"€1,585,000",for sale,5,429,USA hyper equipped,0,0,0,Yes,4,0,0
8954026,2610,House,House,"€359,000",for sale,3,190,Semi equipped,0,0,0,0,3,0,0
8954019,3270,House,House,"€320,000",for sale,3,190,Hyper equipped,0,0,0,Yes,3,0,0
8954017,6887,House,House,"€695,000",for sale,6,316,Installed,0,0,0,0,3,0,0
8954016,1360,House,House,"€330,000",for sale,3,123,Installed,0,0,0,Yes,3,0,0
8954010,2610,House,House,"€599,000",for sale,3,298,Hyper equipped,0,0,0,Yes,3,0,Good
8954003,2170,House,House,"€219,000",for sale,2,106,Installed,0,0,0,0,0,0,Good
8954001,8310,House,House,"€339,000",for sale,3,0,0,0,0,0,Yes,0,0,0
8953986,8930,House,House,"€197,650",for sale,3,0,0,0,0,0,0,3,0,Good
8953985,8930,House,House,"€199,650",for sale,3,0,0,0,0,0,0,0,0,Good
8953984,8930,House,House,"€227,800",for sale,3,0,Installed,0,0,0,0,0,0,Good
8953981,9500,House,House,"€225,000",for sale,3,0,0,0,0,0,0,0,0,0
8953969,5060,House,House,"€275,000",for sale,3,0,0,0,0,0,0,0,0,0
8953966,7370,House,House,"€125,000",for sale,3,113,Installed,0,0,0,0,0,0,As new
8847521,6010,House,House,"€100,000",for sale,3,0,0,0,0,0,0,0,0,0
8847520,6200,House,House,"€100,000",for sale,3,0,0,0,0,0,0,0,0,0
8953939,2660,House,House,"€319,000",for sale,3,185,Installed,0,0,0,108,0,0,As new
8953937,1500,House,House,"€379,000",for sale,3,190,Installed,0,0,0,0,3,0,To be done up
8953936,1501,House,House,"€379,000",for sale,3,190,Installed,0,0,0,0,3,0,To be done up
8953935,1480,House,House,"€155,000",for sale,3,0,Not installed,0,0,0,0,3,0,0
8953715,3550,House,House,"€275,000",for sale,4,180,Installed,0,0,0,Yes,4,0,To be done up
8953619,7390,House,House,"€165,000",for sale,4,150,0,0,0,0,0,0,0,0
8953698,9790,House,House,"€450,000",for sale,3,124,0,0,0,0,0,0,0,0
8953712,9600,House,House,"€267,000",for sale,3,200,Installed,0,0,0,215,0,0,0
8893599,1170,House,House,"€750,000",for sale,4,205,Hyper equipped,0,0,13,65,0,0,Good
8953710,9520,House,House,"€279,000",for sale,3,0,Installed,0,0,0,0,3,0,Just renovated
8953697,2431,House,House,"€298,000",for sale,3,145,Installed,0,0,16,Yes,0,0,To be done up
8953673,8310,House,House,"€278,500",for sale,4,0,Semi equipped,0,0,0,0,0,0,0
8953672,8310,House,House,"€265,000",for sale,4,0,Installed,0,0,0,0,0,0,0
8953670,9050,House,House,"€275,000",for sale,5,176,Semi equipped,0,0,0,0,0,0,To be done up
8953640,7012,House,House,"€79,000",for sale,2,114,Semi equipped,0,0,0,0,0,0,0
6902655,7870,House,House,"€80,000",for sale,1,230,Semi equipped,0,0,55,0,2,0,0
8953635,8200,House,House,"€370,000",for sale,3,0,Installed,0,0,0,0,0,0,0
8953634,1950,House,House,"Reserve price : €280,000",for sale,2,0,Installed,0,0,0,0,0,0,0
8953631,3461,House,House,No reserve price,for sale,1,0,0,0,0,0,0,0,0,0
8953623,8020,House,House,"€329,000",for sale,3,0,0,0,0,0,0,0,0,0
8953621,8680,House,House,"€499,000",for sale,5,232,Installed,0,0,18,1,0,0,0
8953609,4671,House,House,"€179,000",for sale,1,129,Installed,0,0,0,0,3,0,0
8953608,4680,House,House,"€439,000",for sale,4,289,Installed,0,0,0,0,4,0,0
8877155,4040,House,House,"€125,000",for sale,1,150,Installed,0,0,0,0,2,0,0
8953602,4040,House,House,"€439,000",for sale,4,289,Installed,0,0,0,0,4,0,0
8953586,4020,House,House,"€287,000",for sale,4,233,Hyper equipped,0,0,20,Yes,2,0,As new
8953593,8570,House,House,"€275,000",for sale,3,190,Hyper equipped,0,0,Yes,1,0,0,0
8953584,5660,House,House,"€159,000",for sale,4,147,Installed,0,0,0,259,0,0,Good
8924626,7340,House,House,"€69,000",for sale,2,63,Installed,0,0,0,93,0,0,0
8953568,4050,House,House,"€545,000",for sale,4,0,0,0,0,0,0,0,0,0
8953567,8810,House,House,"€312,000",for sale,3,185,0,0,0,0,0,2,0,As new
8953565,4170,House,House,"€124,000",for sale,2,97,0,0,0,0,0,0,0,To renovate
8953564,4000,House,House,"€499,000",for sale,5,332,Installed,0,0,0,20,0,0,0
8953563,4300,House,House,"€260,000",for sale,4,179,Hyper equipped,0,0,0,1038,3,0,Good
8953562,4431,House,House,"€384,000",for sale,4,173,Installed,0,0,0,0,0,0,0
8953560,9230,House,House,"Reserve price : €175,000",for sale,3,0,0,0,0,0,0,0,0,0
8953558,7090,House,House,"€255,000",for sale,3,0,0,0,0,0,0,0,0,0
8953546,1180,House,House,"€650,000",for sale,4,180,Installed,0,0,0,100,0,0,0
8953545,3071,House,House,"€415,000",for sale,6,225,0,0,0,0,0,3,0,Good
8953544,1640,House,House,"€1,395,000",for sale,6,400,Hyper equipped,0,0,0,0,4,0,Good
8777875,7332,House,House,"€155,000",for sale,3,0,0,0,0,0,0,0,0,0
8953534,8480,House,House,"€272,000",for sale,4,182,Hyper equipped,0,0,35,0,2,0,As new
8953523,9000,House,House,"€220,000",for sale,4,150,Not installed,0,0,4,0,0,0,Good
8953518,9500,House,House,"€95,000",for sale,3,122,0,0,0,0,0,0,0,To renovate
8953517,4030,House,House,"€150,000",for sale,2,100,Installed,0,0,Yes,0,2,0,As new
8953508,6767,House,House,"€165,000",for sale,3,0,0,0,0,0,0,0,0,To be done up
8953506,7971,House,House,"€130,000",for sale,2,0,0,0,0,0,0,4,0,0
8953504,9600,House,House,"€120,000",for sale,3,0,0,0,0,0,0,0,0,0
8953502,7070,House,House,"€90,000",for sale,3,210,0,0,0,0,0,4,0,To renovate
8953498,3720,House,House,"€325,000",for sale,5,164,0,0,0,0,0,4,0,Good
8953501,7012,House,House,"€90,000",for sale,2,90,Not installed,0,0,0,0,0,0,Good
8953494,2850,House,House,"€225,000",for sale,3,125,Installed,0,0,0,0,0,0,Just renovated
8953490,7100,House,House,"€219,000",for sale,3,180,Semi equipped,0,0,0,0,3,0,0
8953475,9950,House,House,"€255,000",for sale,4,160,Installed,0,0,Yes,419,0,0,0
8953472,8370,House,House,"€149,000",for sale,2,75,Installed,0,0,0,0,0,0,0
8715627,1180,House,House,"€900,000",for sale,4,220,Hyper equipped,0,0,0,400,0,0,As new
8953461,2470,House,House,"€298,407",for sale,3,152,0,0,0,0,0,0,0,0
8953459,7390,House,House,"€100,000",for sale,4,0,0,0,0,0,0,0,0,0
8953454,1420,House,House,"€327,500",for sale,3,185,Installed,0,0,10,0,3,0,0
8953443,2220,House,House,"€395,000",for sale,4,173,Hyper equipped,0,0,Yes,Yes,4,0,Good
8953451,1050,House,House,"€1,350,000",for sale,5,365,USA hyper equipped,0,0,20,50,2,0,Just renovated
8953436,6031,House,House,"€159,000",for sale,3,106,Semi equipped,0,0,0,0,3,0,Good
8953428,7340,House,House,"€89,000",for sale,2,0,0,0,0,0,0,0,0,To be done up
8953421,9200,House,House,"€247,000",for sale,4,138,Semi equipped,0,0,South,65,3,0,To renovate
8953425,6637,House,House,"Reserve price : €240,000",for sale,5,0,0,0,0,0,0,0,0,Good
8769203,5100,House,House,"€250,000",for sale,3,0,0,0,0,0,0,0,0,0
8953415,9950,House,House,"Reserve price : €160,000",for sale,3,0,Installed,0,0,0,0,0,0,0
8953412,6760,House,House,"€259,000",for sale,4,139,Installed,0,0,0,Yes,3,0,Good
8953409,7170,House,House,"€199,000",for sale,3,130,0,0,0,0,300,0,0,Good
8527963,5190,House,House,"€115,000",for sale,4,312,0,0,0,0,Yes,0,0,To restore
8915648,1420,House,House,"€430,000",for sale,3,180,Hyper equipped,0,0,0,0,3,0,Good
8953385,4260,House,House,"Reserve price : €150,000",for sale,4,234,0,0,0,0,1550,4,0,Good
8953383,1933,House,House,"Reserve price : €260,000",for sale,2,0,Installed,0,0,0,0,3,0,0
8953381,7080,House,House,"€107,500",for sale,2,93,Installed,0,0,0,0,0,0,0
8953379,7130,House,House,"€122,000",for sale,3,0,Semi equipped,0,0,0,0,3,0,0
8953377,2260,House,House,"€335,000",for sale,2,125,Installed,0,0,0,0,3,0,As new
8953368,4840,House,House,"€229,990",for sale,4,0,0,0,0,23,0,2,0,0
8953333,1982,House,House,"€355,000",for sale,3,196,Installed,0,0,16,Yes,4,0,Just renovated
8953364,6040,House,House,"€120,000",for sale,5,0,0,0,0,0,0,0,0,0
8953363,2310,House,House,"€299,000",for sale,3,0,Installed,0,0,0,0,0,0,As new
8953362,2018,House,House,"Reserve price : €310,000",for sale,2,0,0,0,0,0,0,0,0,0
8953360,2300,House,House,"€345,000",for sale,3,0,Installed,0,0,0,0,2,0,0
8953341,9000,House,House,"€398,000",for sale,3,174,Installed,0,0,0,0,0,0,As new
8953334,2550,House,House,"€999,500",for sale,3,620,Installed,0,0,0,0,0,0,0
8953331,9120,House,House,"€445,000",for sale,3,184,Installed,0,0,0,0,3,0,Good
8953329,1200,House,House,"€1,200,000",for sale,5,270,Hyper equipped,0,0,0,30,2,0,Just renovated
8953324,6810,House,House,"€195,000",for sale,2,188,0,0,0,0,0,0,0,0
8953320,2110,House,House,"€374,500",for sale,4,185,Semi equipped,0,0,0,250,2,0,Good
8953311,8500,House,House,"€110,000",for sale,1,0,Installed,0,0,0,0,0,0,Good
8953299,3520,House,House,"€255,000",for sale,3,218,0,0,0,0,0,4,0,To be done up
8953290,2018,House,House,"€660,000",for sale,4,230,Installed,0,0,0,0,0,0,Just renovated
8953289,3473,House,House,"€185,000",for sale,3,0,Installed,0,0,0,0,4,0,To be done up
8953285,5370,House,House,"€249,000",for sale,4,204,Installed,0,0,0,Yes,0,0,0
8953284,1800,House,House,"€379,000",for sale,4,179,Semi equipped,0,0,0,102,2,0,Good
8953283,2830,House,House,"€459,000",for sale,3,186,Installed,0,0,0,0,0,0,Good
8953274,9620,House,House,"€324,000",for sale,3,141,Installed,0,0,0,0,3,0,Good
8953268,1785,House,House,"€1,185,000",for sale,8,498,Installed,0,0,0,Yes,3,0,Good
8953262,9300,House,House,"€220,000",for sale,4,116,Installed,0,0,0,0,0,0,Good
8953246,9160,House,House,"€375,000",for sale,5,261,Installed,0,0,0,0,2,0,Good
8953240,9230,House,House,"€409,656",for sale,3,0,Hyper equipped,0,0,0,Yes,0,0,0
8939787,7700,House,House,"€185,000",for sale,4,165,Installed,0,0,0,0,0,0,Good
8702619,6031,House,House,"€95,000",for sale,2,120,Semi equipped,0,0,0,0,3,0,To be done up
8953217,9200,House,House,"€195,000",for sale,3,157,Semi equipped,0,0,0,98,2,0,0
8953213,5651,House,House,"€235,000",for sale,2,130,Installed,0,0,0,0,4,0,Good
8953206,9820,House,House,"€464,956",for sale,3,0,Hyper equipped,0,0,0,0,0,0,As new
8953201,1770,House,House,"€325,000",for sale,3,243,Installed,0,0,0,139,3,0,0
8953200,1742,House,House,"€339,000",for sale,3,266,Installed,0,0,0,272,3,0,To be done up
8953198,2930,House,House,"€449,000",for sale,3,180,Hyper equipped,0,0,0,Yes,2,0,Just renovated
8953197,1600,House,House,"€349,000",for sale,2,100,Installed,0,0,0,Yes,4,0,To renovate
8953193,2290,House,House,"€699,000",for sale,4,238,Semi equipped,0,0,0,0,4,0,Good
8953190,2960,House,House,"€409,000",for sale,4,200,Hyper equipped,0,0,0,0,4,0,As new
8914667,2500,House,House,"€319,500",for sale,4,136,Semi equipped,0,0,0,0,0,0,0
8953183,9968,House,House,"€299,000",for sale,3,154,Hyper equipped,0,0,Yes,Yes,0,0,0
8953182,4102,House,House,"€107,000",for sale,5,180,Semi equipped,0,0,0,0,0,0,To renovate
8953181,4032,House,House,"€15,000 + €550/month",for sale,2,0,Installed,0,0,0,0,2,0,Good
8953175,2580,House,House,"€155,000",for sale,1,72,Not installed,0,0,0,Yes,4,0,0
8953138,5500,House,House,"€210,000",for sale,4,152,Semi equipped,0,0,0,417,0,0,Just renovated
8913445,3970,House,House,"€229,000",for sale,5,245,Installed,0,0,0,Yes,0,0,Good
8953133,2900,House,House,"€399,000",for sale,3,176,Semi equipped,0,0,0,193,0,0,Just renovated
8953131,5190,House,House,"€125,000",for sale,3,0,0,0,0,0,0,0,0,0
