Locality,type of property,price,area,building state,rooms,facades,kitchen type,garden,fireplace,swimming pool
1170,House,Reserve price : 425000€,145 m²,To be done up,3,3,Not specified,1,0,0
4020,House,138000€,Not specified,Good,2,2,Not specified,1,0,0
6530,House,299900€,250 m²,As new,5,3,Hyper equipped,1,0,0
Not specified,House,85000€,72 m²,Good,2,2,Not installed,1,0,0
Not specified,House,599000€,431 m²,Not specified,4,4,Installed,1,0,0
Not specified,House,319000€,200 m²,To be done up,4,2,Installed,1,0,0
6210,House,119999€,124 m²,To renovate,3,2,Installed,1,0,0
Not specified,House,275000€,185 m²,Not specified,6,4,Installed,1,0,0
7900,House,133000€,95 m²,Just renovated,3,2,Installed,1,0,0
5300,House,99000€,74 m²,To renovate,3,2,Not installed,1,0,0
Not specified,House,220000€,140 m²,Good,3,4,Not specified,1,0,0
3511,House,365000€,396 m²,Good,6,4,Not specified,1,1,0
Not specified,House,189000€,105 m²,As new,2,2,Installed,1,0,0
Not specified,House,40000€ + 935€ per month,120 m²,Good,2,4,Semi equipped,1,1,0
Not specified,House,275000€,120 m²,To renovate,3,2,Not specified,1,0,0
2930,House,467000€,Not specified,Just renovated,3,3,Not specified,1,0,0
9420,House,Reserve price : 150000€,Not specified,Not specified,3,3,Not specified,1,0,0
1050,House,817000€,250 m²,Not specified,4,2,Not specified,1,0,0
Not specified,House,329000€,160 m²,As new,4,3,Not specified,1,0,0
6224,House,195000€,160 m²,Not specified,3,3,Not installed,1,0,0
8573,House,235000€,Not specified,Good,4,2,Installed,1,0,0
8420,House,419000€,120 m²,Good,2,4,USA semi equipped,1,0,0
Not specified,House,2350000€,700 m²,As new,4,4,USA hyper equipped,1,0,0
2860,House,245000€,125 m²,Good,3,2,Hyper equipped,1,0,0
3540,House,399500€,400 m²,Good,4,4,Installed,1,0,0
2235,House,375000€,157 m²,As new,3,3,Not specified,1,0,0
9280,House,275000€,218 m²,Not specified,2,2,Not specified,1,0,0
Not specified,House,475000€,235 m²,As new,3,4,Hyper equipped,1,0,0
3300,House,178800€,155 m²,To renovate,4,2,Installed,1,0,0
3350,House,259000€,200 m²,As new,5,2,Hyper equipped,1,0,0
1770,House,210000€,120 m²,To be done up,3,2,Installed,1,0,0
2100,House,270000€,120 m²,As new,2,2,Hyper equipped,1,0,0
4987,House,175000€,107 m²,Good,3,3,Semi equipped,1,0,0
Not specified,House,259000€,236 m²,To be done up,7,4,Semi equipped,1,0,0
Not specified,House,395000€,207 m²,Good,3,3,Installed,1,0,0
2660,House,259000€,127 m²,Not specified,2,2,Hyper equipped,1,0,0
Not specified,House,890000€,190 m²,To renovate,5,4,Not installed,1,0,0
8500,House,264000€,Not specified,Good,3,2,Not specified,1,0,0
6001,House,85000€,80 m²,To be done up,3,2,Semi equipped,1,0,0
Not specified,House,139000€,118 m²,To be done up,2,3,Not specified,1,0,0
Not specified,House,99800€,122 m²,To be done up,3,2,Not specified,1,0,0
6042,House,165000€,Not specified,As new,3,3,Not specified,1,0,0
6020,House,170000€,175 m²,As new,4,2,Installed,1,0,0
6181,House,169900€,171 m²,Good,4,3,Not specified,1,0,0
7100,House,67500€,Not specified,To renovate,2,2,Not specified,1,0,0
8540,House,210000€,Not specified,Not specified,4,3,Not specified,1,0,0
Not specified,House,215000€,Not specified,Not specified,3,3,Not specified,1,0,0
Not specified,House,248000€,Not specified,Good,3,2,Not specified,1,0,0
4420,House,Reserve price : 55000€,112 m²,To renovate,2,2,Not specified,1,0,0
4040,House,198000€,130 m²,Good,4,2,Not specified,1,0,0
6061,House,185000€,170 m²,Just renovated,3,3,Installed,1,0,0
7110,House,116000€,120 m²,To renovate,2,2,Not installed,1,0,0
7110,House,125000€,109 m²,Good,2,2,Semi equipped,1,0,0
9190,House,Reserve price : 600000€,Not specified,Not specified,5,4,Not specified,1,0,0
4030,House,Reserve price : 30000€,124 m²,To renovate,2,3,Not specified,1,0,0
3010,House,325000€,Not specified,Not specified,3,3,Not specified,1,0,0
2530,House,Reserve price : 125000€,Not specified,To renovate,3,2,Not specified,1,0,0
7340,House,Reserve price : 27000€,Not specified,To renovate,3,2,Not specified,1,0,0
7503,House,155000€,150 m²,To be done up,2,4,Not specified,1,0,0
4020,House,125000€,167 m²,To be done up,3,2,Not specified,1,0,0
7000,House,150000€,Not specified,To renovate,3,2,Not specified,1,0,0
2070,House,269000€,Not specified,Good,5,2,Not specified,1,0,0
7321,House,Reserve price : 90000€,Not specified,To renovate,3,2,Not specified,1,0,0
8301,House,Reserve price : 125000€,Not specified,Not specified,3,3,Installed,1,0,0
9600,House,Reserve price : 65000€,Not specified,Not specified,5,2,Not specified,1,0,0
4801,House,185000€,112 m²,To be done up,3,3,Not specified,1,0,0
3830,House,Reserve price : 120000€,Not specified,Not specified,3,4,Installed,1,0,0
2920,House,Reserve price : 290000€,Not specified,Not specified,3,4,Installed,1,0,0
7110,House,130000€,Not specified,Not specified,2,2,Not specified,1,0,0
6929,House,Reserve price : 238700€,Not specified,Not specified,3,4,Not specified,1,0,0
4590,House,Reserve price : 160000€,290 m²,Good,4,3,Installed,1,0,0
7080,House,130000€,Not specified,Not specified,2,2,Installed,1,0,0
3960,House,Reserve price : 100000€,Not specified,Not specified,2,4,Not specified,1,0,0
7730,House,150000€,100 m²,Good,3,2,Not specified,1,0,0
9940,House,Reserve price : 250000€,Not specified,Good,3,4,Installed,1,0,0
4820,House,Reserve price : 25000€,Not specified,To renovate,4,2,Not specified,1,0,0
3460,House,Reserve price : 70000€,Not specified,To renovate,3,4,Not specified,1,0,0
2440,House,Reserve price : 180000€,Not specified,Not specified,3,2,Not specified,1,0,0
4460,House,180000€,Not specified,Not specified,3,2,Not specified,1,0,0
5070,House,Reserve price : 80000€,Not specified,Not specified,2,4,Not specified,1,0,0
Not specified,House,119000€,90 m²,To renovate,2,2,Semi equipped,1,0,0
Not specified,House,285000€,146 m²,To be done up,3,4,Semi equipped,1,0,0
Not specified,House,399999€,451 m²,To renovate,5,4,Not specified,1,0,0
9290,House,268000€,160 m²,Not specified,2,4,Not specified,1,0,0
Not specified,House,439000€,192 m²,To be done up,4,2,USA hyper equipped,1,0,0
4140,House,160000€,235 m²,Good,2,4,Semi equipped,1,0,0
Not specified,House,399000€,126 m²,Not specified,3,4,Not specified,1,0,0
Not specified,House,1091000€,250 m²,As new,5,4,Hyper equipped,1,0,0
9340,House,135000€,108 m²,Not specified,2,2,Semi equipped,1,0,0
4520,House,215000€,Not specified,Good,4,2,Not specified,1,0,0
4100,House,178000€,98 m²,Good,3,3,Installed,1,0,0
2900,House,249000€,130 m²,Good,3,2,USA semi equipped,1,0,0
4910,House,125000€,260 m²,To renovate,4,4,Not specified,1,0,0
4100,House,145000€,80 m²,Good,2,2,Installed,1,0,0
2390,House,299900€,Not specified,Not specified,3,4,Not specified,1,0,0
Not specified,House,259000€,242 m²,Not specified,4,4,Not specified,1,0,0
2440,House,285000€,155 m²,To renovate,4,4,Installed,1,0,0
Not specified,House,249000€,152 m²,To renovate,2,3,Not specified,1,0,0
8870,House,365000€,190 m²,Good,3,4,Not specified,1,0,0
4000,House,128000€,Not specified,To renovate,3,2,Not specified,1,0,0
Not specified,House,274000€,201 m²,To be done up,3,2,Semi equipped,1,0,0
2350,House,289000€,133 m²,To renovate,3,4,Hyper equipped,1,0,0
2300,House,369000€,310 m²,Good,4,2,Hyper equipped,1,0,0
2200,House,259000€,244 m²,To renovate,3,3,Not specified,1,0,0
4820,House,69000€,75 m²,As new,1,2,Installed,1,0,0
4460,House,116500€,190 m²,To restore,3,2,Not specified,1,0,0
4030,House,242000€,150 m²,Not specified,4,3,Not specified,1,0,0
7022,House,147500€,140 m²,Not specified,2,3,Not specified,1,0,0
6000,House,69900€,105 m²,To renovate,4,2,Not installed,1,0,0
4032,House,279000€,170 m²,As new,4,3,Installed,1,0,0
8630,House,273000€,171 m²,Good,3,4,Installed,1,0,0
6140,House,139000€,120 m²,To be done up,2,2,Semi equipped,1,0,0
4500,House,135000€,160 m²,To be done up,4,2,Semi equipped,1,0,0
3300,House,169800€,216 m²,To renovate,3,2,Semi equipped,1,0,0
8750,House,695000€,Not specified,Good,5,4,Hyper equipped,1,0,0
8730,House,325000€,180 m²,To be done up,2,4,Installed,1,0,0
Not specified,House,400000€,130 m²,Not specified,3,3,Installed,1,0,0
3840,House,415000€,231 m²,Good,3,4,Not specified,1,0,0
2820,House,269000€,132 m²,Good,2,3,Not specified,1,0,0
1742,House,329000€,165 m²,Good,3,3,Hyper equipped,1,0,0
9140,House,289000€,235 m²,Not specified,3,2,Not installed,1,0,0
8880,House,240000€,350 m²,Good,4,2,Not specified,1,0,0
2870,House,475000€,280 m²,To be done up,4,4,Not specified,1,0,0
1780,House,595000€,250 m²,Good,3,2,Not specified,1,0,0
3440,House,205000€,125 m²,Good,2,2,Not specified,1,0,0
3381,House,485000€,220 m²,Good,3,4,Not specified,1,0,0
3300,House,175000€,117 m²,To be done up,2,2,Not specified,1,0,0
3300,House,408000€,220 m²,To renovate,3,4,Not specified,1,0,0
3460,House,249000€,190 m²,Good,3,3,Not specified,1,0,0
3470,House,417000€,473 m²,Good,5,4,Not specified,1,0,0
3800,House,330000€,183 m²,Good,3,4,Not specified,1,0,0
3300,House,109000€,240 m²,To renovate,6,2,Not specified,1,0,0
2310,House,215000€,160 m²,To renovate,Not specified,2,Not specified,1,0,0
2390,House,364000€,164 m²,Good,3,4,Not specified,1,0,0
Not specified,House,150000€,121 m²,To renovate,3,2,Not installed,1,0,0
3680,House,320000€,252 m²,Good,4,4,Installed,1,0,0
4040,House,150000€,127 m²,To be done up,3,2,Installed,1,0,0
9041,House,259000€,100 m²,Just renovated,3,2,Installed,1,0,0
9000,House,240000€,125 m²,Not specified,1,2,Semi equipped,1,0,0
1480,House,369000€,440 m²,Not specified,3,4,Not specified,1,0,0
9700,House,235000€,170 m²,Not specified,3,3,Not specified,1,0,0
1547,House,259000€,230 m²,Good,4,3,Semi equipped,1,0,0
Not specified,House,495000€,250 m²,Good,4,4,Installed,1,1,0
4180,House,175000€,145 m²,Not specified,4,3,Not specified,1,0,0
4590,House,175000€,145 m²,Not specified,4,3,Not specified,1,0,0
Not specified,House,269000€,190 m²,As new,4,3,Hyper equipped,1,0,0
Not specified,House,480000€,270 m²,Not specified,5,4,Installed,1,0,0
Not specified,House,215000€,130 m²,Not specified,2,2,Installed,1,1,0
8210,House,283150€,Not specified,Not specified,3,4,Not specified,1,0,0
8210,House,283150€,Not specified,Not specified,3,4,Not specified,1,0,0
Not specified,House,269000€,145 m²,Just renovated,3,4,Not specified,1,1,0
8490,House,251290€,172 m²,Not specified,3,3,Not specified,1,0,0
8600,House,349000€,177 m²,Good,3,2,Installed,1,0,0
6750,House,295000€,115 m²,Not specified,2,3,Hyper equipped,1,0,0
8554,House,241875€,148 m²,Good,3,3,Installed,1,0,0
3800,House,72500€,Not specified,To renovate,2,3,Not specified,1,0,0
Not specified,House,75000€,35 m²,Not specified,1,2,Not installed,1,0,0
Not specified,House,99000€,130 m²,Not specified,4,2,Not installed,1,0,0
Not specified,House,325000€,138 m²,Not specified,4,4,Installed,1,0,0
2860,House,315000€,Not specified,To be done up,2,2,Semi equipped,1,0,0
Not specified,House,272500€,167 m²,Not specified,4,3,Installed,1,0,0
2845,House,265000€,150 m²,Good,3,2,Installed,1,0,0
Not specified,House,179000€,175 m²,Not specified,3,2,Installed,1,0,0
3770,House,255449€,Not specified,Not specified,3,3,Not specified,1,0,0
2060,House,259000€,185 m²,Good,3,2,Not specified,1,0,0
2940,House,249000€,213 m²,Not specified,3,2,Installed,1,0,0
Not specified,House,325000€,170 m²,Not specified,3,2,Installed,1,0,0
Not specified,House,325000€,170 m²,Not specified,3,2,Installed,1,0,0
3700,House,359000€,360 m²,As new,4,4,Installed,1,1,0
9032,House,360000€,173 m²,Good,3,3,Installed,1,0,0
9000,House,259000€,164 m²,Good,5,2,Installed,1,0,0
Not specified,House,145000€,135 m²,Not specified,3,2,Not specified,1,0,0
7000,House,89000€,80 m²,Not specified,2,2,Installed,1,0,0
3040,House,325000€,Not specified,To renovate,4,4,Not specified,1,0,0
9230,House,150000€,115 m²,To be done up,3,2,Not specified,1,0,0
9500,House,155000€,109 m²,Just renovated,3,2,Not specified,1,0,0
9550,House,250000€,231 m²,Good,4,3,Installed,1,0,0
Not specified,House,77500€,140 m²,To renovate,2,2,Not specified,1,0,0
9988,House,284000€,185 m²,Good,3,3,Hyper equipped,1,1,0
4670,House,420000€,255 m²,Not specified,5,4,Installed,1,0,0
9600,House,189000€,264 m²,To renovate,4,2,Not specified,1,0,0
4020,House,188000€,135 m²,Good,3,2,Installed,1,0,0
Not specified,House,890000€,240 m²,To be done up,5,3,Installed,1,1,0
1932,House,549000€,344 m²,Not specified,4,2,Installed,1,0,0
Not specified,House,300000€,Not specified,Good,4,4,Semi equipped,1,0,0
Not specified,House,145000€,150 m²,Not specified,4,2,Not specified,1,0,0
3020,House,725000€,245 m²,Not specified,3,3,Hyper equipped,1,0,0
9032,House,499000€,192 m²,Just renovated,3,3,Installed,1,0,0
9600,House,249500€,268 m²,Good,3,2,Semi equipped,1,0,0
4460,House,125000€,Not specified,Good,2,3,Not specified,1,0,0
9000,House,279000€,131 m²,Good,4,2,Not specified,1,0,0
8870,House,269000€,165 m²,As new,3,2,Installed,1,0,0
9100,House,379000€,176 m²,Good,3,3,Installed,1,0,0
2490,House,239000€,130 m²,Good,3,3,Installed,1,0,0
Not specified,House,205000€,133 m²,Good,3,3,Not specified,1,0,0
Not specified,House,295000€,150 m²,Good,3,3,Installed,1,0,0
3630,House,190000€,130 m²,Good,3,3,Not specified,1,0,0
3300,House,310000€,183 m²,Good,2,3,Installed,1,0,0
8650,House,299500€,169 m²,Good,3,4,Not specified,1,0,0
7390,House,135000€,110 m²,Not specified,4,2,Not specified,1,1,0
2547,House,365000€,162 m²,Not specified,3,3,Semi equipped,1,0,0
5060,House,205000€,Not specified,Not specified,3,3,Installed,1,0,0
1541,House,419000€,157 m²,Not specified,3,4,Not specified,1,0,0
2110,House,320000€,120 m²,Good,2,2,Installed,1,0,0
2100,House,329000€,120 m²,As new,2,2,Hyper equipped,1,0,0
3500,House,329000€,Not specified,As new,4,2,Not specified,1,0,0
9130,House,385000€,Not specified,Just renovated,4,3,Installed,1,0,0
Not specified,House,169000€,130 m²,To be done up,3,3,Semi equipped,1,0,0
8570,House,398000€,250 m²,As new,4,3,Hyper equipped,1,1,0
2800,House,340000€,240 m²,To renovate,4,2,Not specified,1,0,0
8300,House,625000€,200 m²,Just renovated,4,4,USA installed,1,0,0
2060,House,298000€,140 m²,Not specified,2,2,Not installed,1,0,0
Not specified,House,250000€,115 m²,Just renovated,3,3,Hyper equipped,1,0,0
9900,House,150000€,105 m²,Not specified,2,2,Not specified,1,0,0
4540,House,89500€,97 m²,Good,2,2,Semi equipped,1,0,0
Not specified,House,135000€,164 m²,Good,2,2,Installed,1,0,0
Not specified,House,55000€,100 m²,To renovate,Not specified,2,Not specified,1,0,0
8430,House,385000€,Not specified,To be done up,3,4,Installed,1,0,0
Not specified,House,230000€,227 m²,To renovate,2,4,Not specified,1,0,0
Not specified,House,778000€,222 m²,Good,4,4,Not specified,1,0,0
Not specified,House,205000€,Not specified,Good,4,3,Not specified,1,0,0
2660,House,355000€,160 m²,Just renovated,3,2,Hyper equipped,1,1,0
1770,House,343100€,Not specified,As new,3,2,Installed,1,0,0
1853,House,495000€,250 m²,As new,4,2,Hyper equipped,1,0,0
4590,House,155000€,120 m²,Good,4,3,Not specified,1,0,0
1400,House,265000€,145 m²,As new,4,2,Installed,1,0,0
5000,House,350000€,189 m²,As new,4,4,Hyper equipped,1,0,0
Not specified,House,355000€,154 m²,Not specified,3,2,Installed,1,0,0
8620,House,430000€,Not specified,As new,4,4,Hyper equipped,1,0,0
5000,House,310000€,173 m²,As new,3,3,Hyper equipped,1,0,0
4300,House,199000€,130 m²,Good,3,2,Installed,1,0,0
6820,House,139500€,172 m²,Not specified,5,2,Not specified,1,0,0
Not specified,House,520000€,176 m²,Good,3,2,Installed,1,0,0
3730,House,119000€,Not specified,To renovate,4,4,Not installed,1,0,0
9900,House,175000€,160 m²,To be done up,4,2,Not installed,1,0,0
4000,House,275000€,136 m²,As new,3,2,Hyper equipped,1,0,0
8210,House,320000€,170 m²,As new,3,3,Not specified,1,0,0
9050,House,385000€,135 m²,As new,2,3,Hyper equipped,1,0,0
Not specified,House,499000€,205 m²,Good,3,4,Installed,1,1,0
3012,House,295000€,93 m²,Good,3,3,Installed,1,0,0
4590,House,249000€,150 m²,Just renovated,3,3,Not specified,1,0,0
1770,House,355000€,Not specified,As new,3,3,Installed,1,0,0
3680,House,259000€,280 m²,Good,5,2,Hyper equipped,1,0,0
3511,House,199000€,170 m²,Not specified,3,3,Not installed,1,0,0
2300,House,295000€,158 m²,Just renovated,4,2,Hyper equipped,1,0,0
9111,House,695000€,314 m²,Not specified,4,4,Installed,1,0,0
9170,House,335000€,220 m²,Not specified,3,2,Not specified,1,0,0
3540,House,274000€,218 m²,Not specified,3,3,Not specified,1,1,0
3500,House,234000€,245 m²,To renovate,3,2,Not specified,1,1,0
Not specified,House,255000€,184 m²,As new,3,3,Installed,1,0,0
6730,House,398500€,177 m²,As new,3,4,Not specified,1,0,0
2570,House,819000€,277 m²,Good,4,4,Installed,1,0,0
3670,House,230000€,143 m²,Good,2,4,Installed,1,0,0
Not specified,House,1800000€,500 m²,Good,5,4,Installed,1,1,0
2100,House,238500€,200 m²,To renovate,5,2,Semi equipped,1,0,0
1745,House,324000€,160 m²,To renovate,3,3,Installed,1,0,0
Not specified,House,279000€,97 m²,Good,2,2,Installed,1,0,0
2580,House,320000€,224 m²,Not specified,2,4,Installed,1,0,0
2811,House,330000€,165 m²,Good,4,3,USA semi equipped,1,0,0
3000,House,295000€,135 m²,Good,4,2,Semi equipped,1,0,0
Not specified,House,193000€,125 m²,Good,3,2,Installed,1,1,0
7800,House,140000€,95 m²,To renovate,3,2,Semi equipped,1,0,0
6150,House,295000€,410 m²,Good,5,4,Semi equipped,1,0,0
Not specified,House,159000€,135 m²,To be done up,2,2,Semi equipped,1,1,0
9900,House,421905€,Not specified,As new,3,4,Hyper equipped,1,0,0
4100,House,250000€,100 m²,Good,3,3,Semi equipped,1,0,0
8800,House,215000€,100 m²,Just renovated,2,2,Installed,1,0,0
5060,House,145000€,Not specified,Not specified,3,3,Semi equipped,1,0,0
6250,House,149000€,Not specified,Not specified,1,4,Not specified,1,0,0
Not specified,House,275000€,175 m²,Not specified,2,4,Installed,1,1,0
Not specified,House,165000€,170 m²,Good,3,3,Installed,1,0,0
9308,House,325000€,Not specified,As new,3,3,Installed,1,0,0
4460,House,129000€,100 m²,Good,3,2,Hyper equipped,1,0,0
1770,House,285000€,Not specified,As new,3,3,Installed,1,0,0
1630,House,650000€,251 m²,Not specified,4,3,Hyper equipped,1,1,0
9150,House,307500€,145 m²,As new,3,2,Installed,1,0,0
9140,House,260000€,100 m²,Good,3,2,Installed,1,0,0
8400,House,187000€,Not specified,To be done up,4,2,Installed,1,0,0
Not specified,House,149000€,190 m²,To be done up,2,2,Not specified,1,0,0
3680,House,420000€,265 m²,Not specified,7,4,Not specified,1,0,0
3140,House,365000€,203 m²,Good,4,4,Installed,1,0,0
3350,House,330000€,168 m²,Good,4,4,Installed,1,0,0
8480,House,175000€,98 m²,Not specified,2,2,Installed,1,0,0
8890,House,132000€,Not specified,To renovate,2,2,Not specified,1,0,0
8400,House,295000€,Not specified,Not specified,3,2,Not specified,1,0,0
1200,House,545000€,235 m²,Just renovated,4,3,Installed,1,0,0
Not specified,House,139000€,96 m²,Not specified,3,2,Installed,1,0,0
4550,House,479000€,240 m²,Good,4,4,Installed,1,1,0
1620,House,329000€,120 m²,Not specified,3,2,Not specified,1,0,0
1180,House,329000€,120 m²,Not specified,3,2,Not specified,1,0,0
3730,House,109000€,100 m²,To renovate,3,2,Not installed,1,0,0
4920,House,249000€,215 m²,Not specified,4,2,Installed,1,0,0
1500,House,289000€,100 m²,To renovate,1,4,Installed,1,0,0
6941,House,175000€,140 m²,As new,2,4,USA hyper equipped,1,0,0
6183,House,195000€,167 m²,Good,3,2,Not specified,1,0,0
1480,House,230000€,134 m²,Good,3,2,Installed,1,1,0
Not specified,House,75000€,110 m²,To renovate,2,3,Not installed,1,0,0
Not specified,House,495000€,222 m²,As new,3,4,Installed,1,0,0
6141,House,145000€,120 m²,To renovate,3,3,Semi equipped,1,0,0
4000,House,175000€,120 m²,Good,2,3,Installed,1,0,0
3270,House,228999€,162 m²,Not specified,3,2,Not specified,1,0,0
2650,House,335000€,155 m²,Not specified,3,2,Installed,1,0,0
4400,House,298000€,275 m²,As new,4,4,Semi equipped,1,1,0
1944,House,253500€,105 m²,Not specified,3,3,Not installed,1,0,0
5650,House,125000€,250 m²,To renovate,4,2,Not specified,1,0,0
Not specified,House,140000€,220 m²,To be done up,4,2,Not specified,1,0,0
9500,House,118000€,Not specified,To be done up,2,2,Installed,1,0,0
4051,House,220000€,223 m²,Not specified,5,3,Not specified,1,0,0
Not specified,House,459000€,240 m²,Good,4,3,Installed,1,1,0
9880,House,484500€,Not specified,Good,3,2,Installed,1,0,0
3294,House,262494€,167 m²,Not specified,3,3,Not specified,1,0,0
6780,House,334500€,136 m²,Not specified,3,3,Installed,1,0,0
6780,House,347500€,140 m²,Not specified,3,3,Installed,1,0,0
9220,House,319072€,Not specified,Not specified,3,3,Not specified,1,0,0
9270,House,180000€,124 m²,To renovate,4,2,Not specified,1,0,0
6690,House,124000€,110 m²,Good,4,2,USA installed,1,0,0
1790,House,399000€,232 m²,As new,2,3,Installed,1,0,0
4970,House,139000€,96 m²,To renovate,2,3,Not installed,1,0,0
4960,House,159000€,110 m²,Good,4,2,Semi equipped,1,0,0
4960,House,149000€,Not specified,Not specified,3,2,Semi equipped,1,0,0
4784,House,149000€,122 m²,Good,4,3,Installed,1,0,0
6790,House,420000€,Not specified,As new,5,3,Not specified,1,0,0
8800,House,225000€,230 m²,Good,3,2,Installed,1,1,0
8370,House,274500€,115 m²,Just renovated,3,2,Installed,1,0,0
2140,House,348000€,186 m²,To be done up,6,2,Not specified,1,0,0
4420,House,164900€,85 m²,Good,2,2,Installed,1,0,0
Not specified,House,265000€,311 m²,Good,4,3,Installed,1,1,0
2860,House,310000€,135 m²,Good,2,2,Installed,1,0,0
3150,House,275000€,119 m²,Good,2,3,Not specified,1,0,0
Not specified,House,280000€,300 m²,Not specified,6,2,Not specified,1,0,0
6200,House,186000€,150 m²,As new,3,2,Installed,1,0,0
3640,House,438000€,Not specified,Good,5,4,Hyper equipped,1,0,0
Not specified,House,159500€,127 m²,Good,2,2,Not specified,1,0,0
4020,House,125000€,30 m²,Good,2,2,Semi equipped,1,0,0
Not specified,House,2250000€,550 m²,Good,4,4,Installed,1,0,0
1030,House,575000€,190 m²,As new,4,2,USA semi equipped,1,0,0
Not specified,House,189000€,Not specified,Not specified,4,3,Not specified,1,0,0
6800,House,395000€,280 m²,Good,5,4,Installed,1,0,0
7390,House,189000€,115 m²,As new,3,2,Not specified,1,0,0
9402,House,269000€,180 m²,To be done up,4,4,Installed,1,0,0
1800,House,418000€,292 m²,To be done up,4,2,Not specified,1,0,0
7034,House,325000€,208 m²,As new,3,4,USA hyper equipped,1,0,0
4460,House,199000€,152 m²,Good,3,2,Installed,1,0,0
9200,House,179000€,100 m²,Not specified,3,2,Semi equipped,1,0,0
9600,House,189500€,100 m²,Just renovated,2,2,Hyper equipped,1,0,0
Not specified,House,219000€,142 m²,Good,3,3,USA hyper equipped,1,0,0
Not specified,House,200000€,127 m²,Good,3,4,Installed,1,0,0
Not specified,House,199000€,141 m²,To be done up,3,3,Installed,1,0,0
Not specified,House,189000€,180 m²,To renovate,4,2,Not installed,1,0,0
7300,House,65000€,129 m²,To be done up,2,2,Not specified,1,0,0
Not specified,House,150000€,150 m²,Good,2,2,Not specified,1,0,0
4672,House,159000€,113 m²,Good,3,2,Installed,1,0,0
4450,House,382000€,280 m²,As new,3,3,Not specified,1,0,0
7110,House,125000€,153 m²,Good,3,3,Installed,1,0,0
5572,House,134500€,Not specified,To be done up,3,3,Installed,1,0,0
Not specified,House,165000€,155 m²,Good,3,2,Installed,1,0,0
Not specified,House,240000€,Not specified,To be done up,3,3,Semi equipped,1,0,0
Not specified,House,199000€,125 m²,Good,2,3,Hyper equipped,1,0,0
Not specified,House,239000€,160 m²,Not specified,4,2,Not specified,1,0,0
4141,House,395000€,180 m²,Not specified,4,4,Installed,1,0,0
1200,House,590000€,300 m²,To renovate,3,3,Not installed,1,0,0
8380,House,235000€,Not specified,Good,3,3,Installed,1,0,0
9340,House,209000€,160 m²,Not specified,2,3,Not specified,1,0,0
4890,House,299000€,121 m²,Good,3,2,Installed,1,0,0
3970,House,239000€,Not specified,Not specified,4,3,Not specified,1,0,0
2490,House,349000€,160 m²,Not specified,3,4,Not specified,1,0,0
4460,House,75000€,Not specified,To renovate,2,2,Not specified,1,0,0
9340,House,210000€,200 m²,Not specified,2,2,Installed,1,0,0
Not specified,House,980000€,350 m²,Good,5,2,Hyper equipped,1,0,0
Not specified,House,850000€,244 m²,To renovate,5,3,Not installed,1,0,0
1500,House,215000€,100 m²,Not specified,2,2,Not specified,1,0,0
7120,House,235000€,174 m²,Good,3,2,USA installed,1,0,0
9400,House,219000€,Not specified,Good,4,2,Hyper equipped,1,0,0
Not specified,House,239000€,126 m²,Good,3,3,USA hyper equipped,1,0,0
1540,House,459000€,421 m²,Good,3,3,Installed,1,0,0
2040,House,309000€,Not specified,Good,3,3,Not specified,1,0,0
8000,House,697000€,Not specified,Not specified,3,4,Not specified,1,0,0
8377,House,697000€,Not specified,Not specified,3,4,Not specified,1,0,0
8340,House,795000€,262 m²,Not specified,3,4,Installed,1,0,0
9180,House,445000€,180 m²,Good,3,3,Installed,1,0,0
1785,House,349000€,135 m²,As new,3,3,USA hyper equipped,1,0,0
1730,House,299000€,230 m²,Good,2,2,Installed,1,0,0
2440,House,399000€,Not specified,Just renovated,4,3,Hyper equipped,1,0,0
Not specified,House,250000€,145 m²,Just renovated,3,2,Hyper equipped,1,0,0
2300,House,169000€,100 m²,To be done up,3,2,Hyper equipped,1,0,0
Not specified,House,165000€,90 m²,Good,2,3,Installed,1,0,0
4500,House,159000€,115 m²,Good,2,2,Not installed,1,0,0
5300,House,265000€,202 m²,As new,4,3,USA hyper equipped,1,0,0
4500,House,210000€,173 m²,Good,3,3,USA installed,1,0,0
2275,House,359000€,161 m²,As new,4,3,USA hyper equipped,1,0,0
2250,House,399000€,170 m²,As new,3,3,USA hyper equipped,1,0,0
2250,House,350000€,Not specified,To be done up,2,4,USA installed,1,0,0
2200,House,259000€,Not specified,To be done up,3,4,Semi equipped,1,0,0
Not specified,House,399000€,210 m²,Not specified,2,3,Installed,1,0,0
1651,House,349000€,175 m²,Good,3,2,Not specified,1,0,0
9900,House,159000€,217 m²,To renovate,3,2,Not specified,1,0,0
3545,House,315000€,166 m²,Good,3,3,Hyper equipped,1,0,0
1785,House,320000€,120 m²,Good,3,3,Not installed,1,0,0
9250,House,225000€,152 m²,Good,3,2,Not specified,1,0,0
8800,House,60000€,1 m²
square meter,To restore,2,2,Not specified,1,0,0
8750,House,313060€,200 m²,Good,3,3,Not specified,1,0,0
3401,House,315000€,210 m²,Good,3,3,Not specified,1,0,0
2430,House,295000€,181 m²,Good,3,3,Not specified,1,0,0
Not specified,House,190000€,Not specified,Not specified,4,2,Not specified,1,0,0
3530,House,315000€,Not specified,Not specified,3,3,Not specified,1,0,0
2060,House,425000€,142 m²,Good,4,2,Installed,1,0,0
2170,House,325000€,216 m²,Good,6,2,Installed,1,1,0
