Locality,type of property,price,area,building state,rooms,facades,kitchen type,garden,fireplace,swimming pool
9120,House,445000€,184 m²,Good,3,3,Installed,1,0,0
1200,House,1200000€,270 m²,Just renovated,5,2,Hyper equipped,1,1,0
6810,House,195000€,188 m²,Not specified,2,3,Not specified,1,0,0
Not specified,House,374500€,185 m²,Good,4,2,Semi equipped,1,0,0
8500,House,110000€,Not specified,Good,1,2,Installed,1,0,0
3520,House,255000€,218 m²,To be done up,3,4,Not specified,1,0,0
2018,House,660000€,230 m²,Just renovated,4,2,Installed,1,0,0
3473,House,185000€,Not specified,To be done up,3,4,Installed,1,0,0
Not specified,House,249000€,204 m²,Not specified,4,3,Installed,1,0,0
Not specified,House,379000€,179 m²,Good,4,2,Semi equipped,1,0,0
9620,House,324000€,141 m²,Good,3,3,Installed,1,0,0
1785,House,1185000€,498 m²,Good,8,3,Installed,1,0,0
9300,House,220000€,116 m²,Good,4,2,Installed,1,0,0
9160,House,375000€,261 m²,Good,5,2,Installed,1,0,0
9230,House,409656€,Not specified,Not specified,3,3,Hyper equipped,1,0,0
Not specified,House,185000€,165 m²,Good,4,2,Installed,1,0,0
6031,House,95000€,120 m²,To be done up,2,3,Semi equipped,1,0,0
9200,House,195000€,157 m²,Not specified,3,2,Semi equipped,1,0,0
5651,House,235000€,130 m²,Good,2,4,Installed,1,0,0
9820,House,464956€,Not specified,As new,3,3,Hyper equipped,1,0,0
1770,House,325000€,243 m²,Not specified,3,3,Installed,1,1,0
1742,House,339000€,266 m²,To be done up,3,3,Installed,1,0,0
2930,House,449000€,180 m²,Just renovated,3,2,Hyper equipped,1,0,0
1600,House,349000€,100 m²,To renovate,2,4,Installed,1,0,0
2290,House,699000€,238 m²,Good,4,4,Semi equipped,1,1,0
2960,House,409000€,200 m²,As new,4,4,Hyper equipped,1,0,0
4102,House,107000€,180 m²,To renovate,5,3,Semi equipped,1,0,0
4032,House,15000€ + 550€ per month,Not specified,Good,2,2,Installed,1,0,0
2580,House,155000€,72 m²,Not specified,1,4,Not installed,1,0,0
3970,House,229000€,245 m²,Good,5,2,Installed,1,0,0
2900,House,399000€,176 m²,Just renovated,3,2,Semi equipped,1,0,0
5190,House,125000€,Not specified,Not specified,3,3,Not specified,1,0,0
2630,House,319000€,Not specified,Not specified,3,2,USA hyper equipped,1,0,0
6850,House,199000€,184 m²,Good,4,4,Installed,1,0,0
6690,House,335000€,227 m²,Just renovated,5,3,Semi equipped,1,0,0
Not specified,House,260000€,170 m²,As new,3,2,Hyper equipped,1,0,0
7190,House,160000€,Not specified,Good,3,2,Installed,1,0,0
7850,House,260000€,129 m²,Good,3,2,Installed,1,0,0
6760,House,170000€,Not specified,Good,3,2,Installed,1,0,0
2627,House,780000€,240 m²,Not specified,3,4,Not specified,1,0,0
3850,House,149000€,160 m²,To be done up,3,3,Not specified,1,0,0
9100,House,275000€,143 m²,Good,4,2,Installed,1,0,0
9000,House,509000€,210 m²,Good,5,2,Not specified,1,0,0
8870,House,247500€,213 m²,Good,3,3,Installed,1,0,0
8870,House,247500€,184 m²,Good,3,2,Installed,1,0,0
9040,House,325000€,96 m²,Good,2,2,Installed,1,0,0
Not specified,House,280000€ + 1500€ per month,145 m²,To be done up,3,3,Installed,1,0,0
1651,House,285000€,Not specified,Not specified,1,3,Not specified,1,0,0
8480,House,410000€,280 m²,Good,3,4,Installed,1,0,0
9700,House,185000€,143 m²,To renovate,3,3,Semi equipped,1,0,0
3210,House,293000€,134 m²,Good,2,2,USA hyper equipped,1,0,0
4020,House,98000€,111 m²,Just renovated,4,1,Semi equipped,1,0,0
3370,House,349000€,105 m²,Good,3,3,Installed,1,0,0
6460,House,185000€,Not specified,Not specified,5,3,Not specified,1,0,0
7021,House,Reserve price : 40000€,Not specified,Not specified,2,3,Installed,1,0,0
4420,House,185000€,123 m²,Good,2,3,Hyper equipped,1,0,0
Not specified,House,135000€,140 m²,Not specified,4,3,Installed,1,1,0
Not specified,House,170000€,158 m²,Not specified,3,4,Not installed,1,0,0
Not specified,House,170000€,158 m²,Not specified,3,4,Installed,1,0,0
Not specified,House,175000€,100 m²,Good,2,2,Semi equipped,1,0,0
1502,House,429000€,220 m²,Not specified,6,4,Hyper equipped,1,0,0
2400,House,285000€,245 m²,Good,4,4,Installed,1,0,0
5000,House,299000€,Not specified,Not specified,2,4,Not specified,1,0,0
4830,House,175000€,Not specified,Good,3,2,Not specified,1,0,0
6890,House,349000€,Not specified,Not specified,5,4,Not specified,1,0,0
2100,House,262000€,105 m²,As new,2,2,Hyper equipped,1,0,0
7700,House,85000€,Not specified,To renovate,2,2,Installed,1,0,0
7538,House,155000€,Not specified,Good,4,4,Installed,1,0,0
4130,House,130000€,159 m²,Good,3,2,Not specified,1,0,0
7140,House,220000€,500 m²,Not specified,6,3,Installed,1,0,0
1745,House,425000€,Not specified,Not specified,4,2,Not specified,1,0,0
4600,House,360000€,157 m²,As new,4,3,Not specified,1,0,0
Not specified,House,115000€,145 m²,Not specified,2,3,Not specified,1,0,0
7012,House,Reserve price : 10000€,101 m²,To renovate,2,2,Not specified,1,0,0
8520,House,497500€,235 m²,As new,5,4,Hyper equipped,1,0,0
3300,House,199000€,148 m²,To renovate,2,2,Installed,1,0,0
4040,House,75000€,251 m²,Not specified,3,2,Installed,1,0,0
4720,House,265000€,Not specified,As new,3,2,Not specified,1,0,0
7170,House,115000€,120 m²,Not specified,3,2,Installed,1,0,0
Not specified,House,278000€,110 m²,As new,2,3,Installed,1,0,0
7350,House,210000€,Not specified,Good,3,4,Installed,1,0,0
5600,House,90000€,Not specified,To be done up,3,2,Installed,1,0,0
7700,House,89000€,136 m²,To renovate,3,2,Not specified,1,0,0
Not specified,House,299000€,167 m²,Not specified,3,2,Installed,1,0,0
9520,House,229000€,138 m²,To renovate,3,4,Not specified,1,0,0
4700,House,249000€,50 m²,Good,1,2,Not specified,1,0,0
5170,House,249000€,100 m²,As new,3,4,Hyper equipped,1,0,0
9830,House,499000€,190 m²,Just renovated,3,3,Installed,1,1,0
8300,House,315000€,95 m²,To be done up,2,2,USA installed,1,0,0
1560,House,369000€,152 m²,To be done up,4,4,Semi equipped,1,0,0
Not specified,House,533000€,160 m²,As new,1,4,Hyper equipped,1,0,0
2323,House,389000€,231 m²,As new,3,3,Not specified,1,0,0
Not specified,House,539000€,282 m²,As new,4,2,Not specified,1,0,0
3800,House,275000€,225 m²,As new,4,4,Hyper equipped,1,0,0
9870,House,389940€,Not specified,As new,3,3,Hyper equipped,1,0,0
Not specified,House,335000€,120 m²,Good,3,2,USA installed,1,0,0
Not specified,House,589200€,268 m²,As new,5,4,Not specified,1,0,0
Not specified,House,539000€,282 m²,As new,4,2,Not specified,1,0,0
2600,House,450000€,228 m²,Good,4,2,Not specified,1,0,0
Not specified,House,290000€,220 m²,Good,4,4,Hyper equipped,1,0,0
8000,House,260000€,Not specified,To be done up,5,2,Installed,1,0,0
Not specified,House,149000€,100 m²,To renovate,2,2,Not specified,1,0,0
Not specified,House,189000€,95 m²,Good,3,4,Not specified,1,0,0
6900,House,109000€,120 m²,Good,2,2,Installed,1,0,0
6600,House,195000€,Not specified,Not specified,4,2,Not installed,1,0,0
1200,House,735000€,250 m²,To renovate,4,2,Not installed,1,0,0
4100,House,129000€,70 m²,Good,2,3,Semi equipped,1,0,0
7800,House,198000€,112 m²,Just renovated,3,3,Installed,1,0,0
2530,House,260000€,130 m²,To be done up,4,3,Installed,1,0,0
8510,House,Reserve price : 295000€,Not specified,Not specified,3,4,Installed,1,0,0
7700,House,189000€,Not specified,Good,3,3,Installed,1,1,0
8501,House,318000€,Not specified,Good,3,2,Not specified,1,0,0
6250,House,160486€,Not specified,Not specified,3,2,Not specified,1,0,0
Not specified,House,495000€,205 m²,To be done up,4,4,Not specified,1,1,0
3270,House,Reserve price : 100000€,Not specified,Not specified,1,2,Not specified,1,0,0
6880,House,165000€,162 m²,As new,3,3,Not specified,1,0,0
Not specified,House,250000€,250 m²,Good,3,3,Installed,1,0,0
Not specified,House,70000€,Not specified,To restore,3,3,Not specified,1,0,0
Not specified,House,315000€,140 m²,As new,3,4,Not specified,1,0,0
3120,House,448000€,151 m²,Good,2,4,Hyper equipped,1,0,0
4317,House,265000€,130 m²,As new,3,3,Installed,1,0,0
4317,House,265000€,130 m²,As new,3,3,Installed,1,0,0
4520,House,210000€,120 m²,Just renovated,2,2,Installed,1,0,0
4317,House,265000€,130 m²,As new,3,3,Installed,1,0,0
Not specified,House,149000€,95 m²,Good,2,2,Installed,1,0,0
Not specified,House,200000€,220 m²,As new,5,2,Not specified,1,0,0
Not specified,House,159000€,Not specified,Good,4,2,Not specified,1,0,0
Not specified,House,160000€,Not specified,Good,3,2,Not specified,1,0,0
4000,House,135000€,126 m²,Not specified,5,3,Not installed,1,0,0
Not specified,House,249000€,180 m²,As new,4,2,USA hyper equipped,1,0,0
9090,House,319000€,137 m²,As new,3,3,USA hyper equipped,1,0,0
4950,House,350000€,Not specified,To renovate,4,4,Not installed,1,0,0
4570,House,199000€,110 m²,Good,2,4,Installed,1,0,0
5370,House,165000€,146 m²,Just renovated,3,2,USA semi equipped,1,0,0
5370,House,165000€,146 m²,Just renovated,3,2,USA semi equipped,1,0,0
4460,House,269000€,230 m²,As new,3,2,USA semi equipped,1,0,0
9600,House,175000€,125 m²,Good,3,2,Installed,1,0,0
9340,House,285000€,250 m²,Good,4,2,Hyper equipped,1,0,0
6030,House,75000€,85 m²,To renovate,2,3,Not installed,1,0,0
6769,House,269000€,202 m²,Good,3,3,Installed,1,0,0
6600,House,310000€,246 m²,Good,3,4,Installed,1,0,0
1800,House,298000€,157 m²,Good,2,2,Not specified,1,0,0
1800,House,298000€,160 m²,Not specified,3,2,Not specified,1,0,0
Not specified,House,305000€,144 m²,Not specified,3,3,Hyper equipped,1,0,0
Not specified,House,300000€,144 m²,Not specified,3,3,Not specified,1,0,0
Not specified,House,300000€,144 m²,Not specified,3,3,Not specified,1,0,0
Not specified,House,300000€,144 m²,As new,3,3,Not specified,1,0,0
Not specified,House,300000€,144 m²,As new,3,3,Not specified,1,0,0
Not specified,House,302500€,144 m²,As new,3,3,Not specified,1,0,0
7100,House,349000€,Not specified,Not specified,6,2,Installed,1,0,0
7600,House,165000€,118 m²,Good,2,3,Not specified,1,0,0
9500,House,299500€,163 m²,Good,3,4,Hyper equipped,1,0,0
3670,House,290000€,350 m²,Not specified,5,4,Not specified,1,0,0
4800,House,119500€,115 m²,To be done up,3,2,Semi equipped,1,0,0
2400,House,275000€,Not specified,Not specified,3,3,Not specified,1,0,0
9402,House,259000€,125 m²,To be done up,2,2,Installed,1,0,0
9200,House,299000€,210 m²,As new,4,2,USA hyper equipped,1,0,0
3870,House,120000€,144 m²,To renovate,3,2,Not specified,1,0,0
9340,House,249000€,150 m²,As new,3,3,Hyper equipped,1,0,0
2060,House,299000€,134 m²,Just renovated,3,2,Not specified,1,0,0
2850,House,210000€,123 m²,Not specified,2,2,Not specified,1,0,0
5537,House,210000€,240 m²,To be done up,4,2,Not specified,1,0,0
2382,House,347000€,175 m²,Not specified,3,4,Not specified,1,0,0
Not specified,House,495000€,210 m²,As new,5,3,Installed,1,0,0
4870,House,174000€,110 m²,To be done up,3,3,Semi equipped,1,0,0
9260,House,210000€,145 m²,Not specified,2,2,Not specified,1,0,0
2260,House,505000€,210 m²,As new,4,4,Hyper equipped,1,0,0
4000,House,163000€,100 m²,To be done up,2,2,Semi equipped,1,0,0
2290,House,163750€,175 m²,Not specified,3,3,Not specified,1,0,0
2440,House,449000€,204 m²,Good,4,4,Hyper equipped,1,0,0
9190,House,289000€,120 m²,Good,2,4,Installed,1,0,0
1745,House,269000€,175 m²,To be done up,2,2,Installed,1,0,0
Not specified,House,315000€,150 m²,Good,3,4,Installed,1,0,0
9900,House,268000€,140 m²,Good,3,2,Not specified,1,0,0
3720,House,365000€,160 m²,Good,2,4,Hyper equipped,1,0,0
3590,House,285000€,161 m²,Good,3,4,Not specified,1,0,0
9600,House,205000€,160 m²,Not specified,3,3,Not specified,1,0,0
1755,House,394900€,158 m²,Not specified,3,3,Hyper equipped,1,0,0
1755,House,394900€,158 m²,Not specified,3,3,Hyper equipped,1,0,0
1755,House,394900€,158 m²,Not specified,3,3,Hyper equipped,1,0,0
1755,House,394900€,158 m²,Not specified,3,3,Hyper equipped,1,0,0
1755,House,429000€,206 m²,Not specified,3,3,Hyper equipped,1,0,0
9160,House,149000€,120 m²,Not specified,3,2,Not specified,1,0,0
9100,House,235000€,135 m²,Just renovated,2,2,Hyper equipped,1,0,0
3473,House,345000€,217 m²,Not specified,3,3,Not specified,1,0,0
3473,House,370000€,261 m²,Not specified,4,3,Not specified,1,0,0
3350,House,120000€,110 m²,To renovate,3,3,Not specified,1,0,0
3300,House,319000€,152 m²,Good,3,4,Not specified,1,0,0
2018,House,695000€,242 m²,As new,4,2,Hyper equipped,1,0,0
8600,House,345000€,168 m²,Good,3,4,Not specified,1,0,0
8210,House,199000€,93 m²,Not specified,2,3,Not specified,1,0,0
8211,House,277500€,140 m²,Not specified,3,2,Not specified,1,0,0
8930,House,189000€,140 m²,Good,2,3,Not specified,1,0,0
2400,House,229000€,101 m²,To be done up,3,2,Not specified,1,0,0
8792,House,195000€,155 m²,To be done up,3,3,Not specified,1,0,0
2960,House,228000€,130 m²,To renovate,3,4,Not specified,1,0,0
2300,House,240000€,150 m²,To be done up,3,2,Not specified,1,0,0
2280,House,258000€,200 m²,Not specified,3,2,Not specified,1,0,0
2200,House,229000€,141 m²,To be done up,3,2,Not specified,1,0,0
1030,House,375000€,134 m²,To be done up,3,2,Not specified,1,0,0
8490,House,378000€,179 m²,Not specified,4,4,Not specified,1,0,0
8490,House,363000€,132 m²,Not specified,3,4,Not specified,1,0,0
3800,House,267351€,162 m²,Not specified,3,2,Installed,1,0,0
3000,House,430000€,160 m²,Good,3,2,Installed,1,0,0
2660,House,399000€,242 m²,Good,5,3,Hyper equipped,1,0,0
9400,House,149000€,Not specified,To renovate,3,4,Not specified,1,0,0
9400,House,149000€,Not specified,To renovate,3,4,Not specified,1,0,0
9400,House,230000€,Not specified,To renovate,3,2,Not specified,1,0,0
9400,House,230000€,Not specified,To renovate,3,2,Not specified,1,0,0
6140,House,85900€,Not specified,To renovate,2,2,Not installed,1,0,0
6140,House,75900€,Not specified,To renovate,2,2,Not installed,1,0,0
Not specified,House,129000€,Not specified,Just renovated,2,2,Installed,1,0,0
3580,House,329000€,195 m²,Not specified,4,3,Installed,1,0,0
3550,House,247500€,221 m²,Not specified,3,3,Installed,1,0,0
3550,House,299000€,175 m²,Good,3,3,Not specified,1,0,0
2800,House,345000€,176 m²,Good,3,2,Installed,1,0,0
9050,House,315000€,112 m²,As new,4,2,Installed,1,0,0
1080,House,330000€,240 m²,To be done up,6,2,Semi equipped,1,0,0
